season,circuitName,country,location,lat,lng,avgPoints,totalPoints,avgFinish,medianFinish,bestFinishDriver,worstFinishDriver,raceCount,rounds,countryavgPoints,countryID
2022,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106,26,26,1,1,1 (Charles Leclerc),1 (Charles Leclerc),1,Round 1,26,048
2022,Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533,0,0,19,19,19 (Charles Leclerc),19 (Charles Leclerc),1,Round 8,0,031
2022,Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228,10,10,5,5,5 (Charles Leclerc),5 (Charles Leclerc),1,Round 9,10,124
2022,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092,15,15,3,3,3 (Charles Leclerc),3 (Charles Leclerc),1,Round 15,15,528
2022,Circuit Paul Ricard,France,Le Castellet,43.2506,5.79167,0,0,19,19,19 (Charles Leclerc),19 (Charles Leclerc),1,Round 12,0,250
2022,Circuit de Barcelona-Catalunya,Spain,Montmelo,41.57,2.26111,0,0,20,20,20 (Charles Leclerc),20 (Charles Leclerc),1,Round 6,0,724
2022,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056,12,12,4,4,4 (Charles Leclerc),4 (Charles Leclerc),1,Round 7,12,492
2022,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139,8,8,6,6,6 (Charles Leclerc),6 (Charles Leclerc),1,Round 14,8,056
2022,Circuit of the Americas,USA,Austin,30.1328,-97.6411,15,15,3,3,3 (Charles Leclerc),3 (Charles Leclerc),1,Round 19,16.5,840
2022,Hungaroring,Hungary,Budapest,47.5789,19.2486,8,8,6,6,6 (Charles Leclerc),6 (Charles Leclerc),1,Round 13,8,348
2022,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,21.6319,39.1044,19,19,2,2,2 (Charles Leclerc),2 (Charles Leclerc),1,Round 2,19,682
2022,Marina Bay Street Circuit,Singapore,Marina Bay,1.2914,103.864,18,18,2,2,2 (Charles Leclerc),2 (Charles Leclerc),1,Round 17,18,702
2022,Miami International Autodrome,USA,Miami,25.9581,-80.2389,18,18,2,2,2 (Charles Leclerc),2 (Charles Leclerc),1,Round 5,16.5,840
2022,Red Bull Ring,Austria,Spielberg,47.2197,14.7647,25,25,1,1,1 (Charles Leclerc),1 (Charles Leclerc),1,Round 11,25,040
2022,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694,12,12,4,4,4 (Charles Leclerc),4 (Charles Leclerc),1,Round 10,12,826
2022,Suzuka Circuit,Japan,Suzuka,34.8431,136.541,15,15,3,3,3 (Charles Leclerc),3 (Charles Leclerc),1,Round 18,15,392
2022,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031,18,18,2,2,2 (Charles Leclerc),2 (Charles Leclerc),1,Round 22,18,784
2023,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25,25,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 3,25,036
2023,Autodromo Hermanos Rodriguez,Mexico,Mexico City,19.4042,-99.0907,25,25,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 19,25,484
2023,Autodromo Jose Carlos Pace,Brazil,Sao Paulo,-23.7036,-46.6997,25,25,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 20,25,076
2023,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111,25,25,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 14,25,380
2023,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106,25,25,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 1,25,048
2023,Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533,18,18,2,2,2 (Max Verstappen),2 (Max Verstappen),1,Round 4,18,031
